BaseIngredient,VeganAlternative
anchovy,miso paste
bbq sauce,Hoisin sauce
beer,sparkling water
buffalo sauce,hot sauce
butter,coconut oil
buttermilk,non-dairy milk with lemon juice
cheese,"Cashew Cheese, vegan cheese"
chocolate,cocoa powder
chocolate ice cream,Non-dairy chocolate ice cream
chocolate malt powder,cocoa powder
egg,Silken tofu
fish sauce,Soy sauce
heavy cream,Cashew cream
honey,Maple syrup
marsala wine,"white wine, red wine, non-alcoholic marsala wine"
marshmallow,Vegan marshmallows
mayo,Vegan mayo
meat - beef - beef,"Seitan, Vegan beef"
meat - beef - brisket,"Jackfruit,vegan brisket"
meat - beef - chuck roast,"Cauliflower, Vegan Chuck Roast"
meat - beef - ribs,"Jackfruit,vegan ribs"
meat - beef - steak,"Mushrooms,vegan steak"
meat - fish,"Jackfruit,vegan fish"
meat - fish - mahi mahi,"hearts of palm, vegan mahi mahi"
meat - fish - salmon,"Carrot,beetroot, vegan salmon"
meat - fish - shellfish - clams,"artichoke,vegan clams"
meat - fish - shellfish - lobster,"hearts of palm, vegan lobster"
meat - fish - shellfish - mussel,"mushrooms,vegan mussel"
meat - fish - shellfish - scallops,"mushrooms,vegan scallops"
meat - fish - shellfish - shrimp,"mushrooms,vegan shrimp"
meat - fish - tuna,"Chickpea,vegan tuna"
meat - other meat - bison,"seitan,vegan bison"
meat - other meat - lamb,"Mushroom,seitan,vegan lamb"
meat - pork - bacon,"tempeh,coconut,vegan bacon"
meat - pork - ham,"tofu,seitan,vegan ham"
meat - pork - pancetta,"Coconut bacon, tofu or tempeh,Vegan pancetta"
meat - pork - pork,"Mushroom,seitan,Jackfruit,Vegan pork"
meat - pork - pork chop,"tofu,tempeh,Vegan pork chop"
meat - poultry - chicken,"Chickpea,tofu,Jackfruit,Vegan chicken"
meat - poultry - turkey,"Seitan,Vegan turkey"
meat - processed meat - deli meat,"tofu,tempeh,Vegan deli meat"
meat - processed meat - prosciutto,"eggplant,coconut,Vegan prosciutto"
meat - processed meat - salami,"mushroom,beet slice,vegan salami"
meat - sausage - andouille,"mushroom,vegan andouille"
meat - sausage - chorizo,"tofu, tempeh,Vegan chorizo"
meat - sausage - pork sausage,"Tofu,tempeh,Mushroom,vegan sausage"
milk,"almond milk, soy milk, oat milk"
nutella,Vegan chocolate spread
oyster sauce,soy sauce
panko,cornflakes
pickle brine,Apple cider vinegar
pickle juice,Lemon juice
pickled ginger,ginger syrup
pickled ginger juice,ginger syrup
pickled jalapeño,jalapeño with vinegar
poultry seasoning,herbs
rice wine,Rice vinegar
sherry,white wine
tequila,Lime juice
